,Count
Test driver prompted to resume control due to system error.,26
Test driver resumed control due to obstacle in path.,8
In-vehicle Test driver decided to resume control to ensure vehicle maintain desired path.,2
Test driver decided to resume control to ensure vehicle maintain desired path.,69
Test driver decided to take over driving task to give other road user priority.,1
Test driver decided to take over driving task to give another road user priority.,31
Test driver decided to take over driving task due to unnecessary lane change.,1
Construction: In vehicle operator decided to resume control due to construction on the road.,1
Test driver decided to take over driving task to give another road user priority,1
Test driver decided to take over driving task to keep junction clear.,4
Traffic conditions: test driver decided to resume control to ensure comfortable distance from other road users.,8
In vehicle operator decided to resume control to ensure vehicle maintain desired path.,3
