Keyword,	Fault Tag,	Failure Category,	Total Occurrences
Prediction error,	Planner,	ML/Design,	1507
Perception error(surrounding environment),	Recognition System,	ML/Design,	1033
Hardware Issue,	Hardware,	System,	612
Incorrect roadway location,	Planner,	ML/Design,	759
Wrong Motion planning,	Planner,	ML/Design,	941
Mapping error,	Recognition System,	ML/Design,	677
Rear-ended,	Environment,	ML/Design,	1
Traffic signal detection error,	Recognition System,	ML/Design,	182
Sensor obstruction,	Sensor ,	System,	33
Diagnosed issue with the motion plan,	Planner,	ML/Design,	183
Wrong Motion planning(Stationary behavior),	Planner,	ML/Design,	54

