Keyword,Fault Tag,Failure Category,Occurrences
Vehicle platform software issue,Software,System,81
Trajectory scoring issue,Planner,ML/Design,1
software issue realted to compute infrastructure,Software,System,13
Inaccurate oncoming traffic predictions,Recognition System,ML/Design,2
Inconsistent detection and tracking,Recognition System,ML/Design,1
Inaccurate map representation,Recognition System,ML/Design,1
Maneuver close to parked vehicles,Planner,ML/Design,1
Sensor data processing,Software,System,28
Inaccurate lead vehicle predictions,Recognition System,ML/Design,1
Inconsistent pedestrian predictions,Recognition System,ML/Design,1
Inaccurate tracking,Recognition System,ML/Design,2
Insufficient lateral clearance,Planner,ML/Design,1
Inconsistent actor vehicle predictions,Recognition System,ML/Design,1
Inconsistent prediction trajectory,Recognition System,ML/Design,1

