Keyword,Fault Tag,Failure Category,Occurrences
Vehicle merging,Recognition System,ML/Design,1
False detection- vehicle merging,Recognition System,ML/Design,1
Planning discrepancy,Planner,ML/Design,9
Positioning discrepancy,Sensor,System,4
Delayed response-vehicle cut-in,Planner,ML/Design,3
Planning discrepancy- lane change-vehicle blocking,Planner,ML/Design,2
Planning discrepancy-vehicle speed determination,Planner,ML/Design,9
Route planner discrepancy,Planner,ML/Design,1
Planning discrepancy- vehicle trajectory,Planner,ML/Design,29
Positioning error,Sensor,System,2
Sensor input delay,Sensor,System,22
Planning discrepancy-undesired braking,Planner,ML/Design,2
Aggressive cut-in- precautionary disengagement,Planner,ML/Design,6
System load,Computer System,System,12
Planning discrepancy-merging vehicle,Planner,ML/Design,20
Exceeding ODD,Environment,ML/Design,5
