Keyword,Fault Tag,Failure Category,Occurrences
Lane Keeping,Recognition System ,ML/Design,5
Traffic Light Behavior,Recognition System ,ML/Design,24
Road Boundary Proximity,Recognition System ,ML/Design,13
Cut-In Issue,Planner ,ML/Design,5
Pedestrian Handling,Planner ,ML/Design,11
Inappropriate steering,AV Controller ,System,5
Braking Decision,Recognition System ,ML/Design,4
Lane Change Maneuver,Planner ,ML/Design,23
Crosswalk Behavior,Planner ,ML/Design,1
Lane Keeping,Recognition System ,ML/Design,16
Perception Error,Recognition System ,ML/Design,6
