Unnamed: 0,Count,Tag,Category
a discrepancy in the onboard map resulted in a motion plan requiring disengagement by the safety driver.   ,956,Planner,ML/Design
"the ads developed a motion plan to remain stationary, requiring disengagement by the safety driver.   ",72,Planner,ML/Design
"the ads generated a motion plan that did not meet expectations of providing courtesy to other road users, leading the safety driver to disengage.   ",941,Planner,ML/Design
"the ads generated a motion plan that would have placed the vehicle in an incorrect location on the roadway, requiring the safety driver to disengage.   ",850,Planner,ML/Design
"the ads incorrectly detected the state of a traffic signal, which resulted in a motion plan requiring disengagement by the safety driver.   ",186,Planner,ML/Design
"the ads incorrectly perceived an element in the surrounding environment, which resulted in a motion plan requiring disengagement by the safety driver.   ",1095,Recognition System,ML/Design
"the ads incorrectly predicted the behavior of another road user, which resulted in a motion plan requiring disengagement by the safety driver.   ",3433,Planner,ML/Design
the ads initiated a disengagement due to a diagnosed hardware issue.   ,1279,AV Controller,System
the ads initiated a disengagement due to a diagnosed issue with the motion plan.   ,319,Planner,ML/Design
"the test vehicle sensor field of view was obstructed, preventing the adequate perception of the surrounding environment and requiring disengagement by the safety driver.   ",44,Recognition System,ML/Design
"the test vehicle was rear-ended by another vehicle, requiring the safety driver to disengage the system and safely take control of the vehicle.",1,Computer System,System
