Month,Car,TypeOfTrigger,Location,Cause
2022-08,3FA6P0LU4JR151712,Test Driver,Street,Test driver decided to resume control to ensure vehicle maintain desired path.
2022-08,3FA6P0LU4JR151712,Test Driver,Freeway,Test driver decided to resume control to ensure vehicle maintain desired path.
2022-08,3FA6P0LU4JR151712,Test Driver,Freeway,Test driver decided to resume control to ensure vehicle maintain desired path.
2022-08,3FA6P0LU4JR151712,Test Driver,Freeway,Test driver decided to resume control to ensure vehicle maintain desired path.
2022-08,3FA6P0LU4JR151712,AV System,Freeway,Test driver prompted to resume control due to system error.
2022-08,3FA6P0LU4JR151712,AV System,Freeway,Test driver prompted to resume control due to system error.
2022-08,3FA6P0LU4JR151712,Test Driver,Street,Test driver resumed control due to obstacle in path.
2022-08,3FA6P0LU4JR151712,Test Driver,Street,Test driver decided to take over driving task to give another road user priority.
2022-08,3FA6P0LU4JR151712,AV System,Street,Test driver prompted to resume control due to system error.
2022-08,3FA6P0LU4JR151712,Test Driver,Street,Traffic conditions: test driver decided to resume control to ensure comfortable distance from other road users.
2022-08,3FA6P0LU4JR151712,AV System,Street,Test driver prompted to resume control due to system error.
2022-08,3FA6P0LU4JR151712,AV System,Street,Test driver prompted to resume control due to system error.
2022-08,3FA6P0LU4JR151712,Test Driver,Street,Test driver decided to resume control to ensure vehicle maintain desired path.
2022-08,3FA6P0LU4JR151712,AV System,Street,Test driver prompted to resume control due to system error.
2022-08,3FA6P0LU4JR151712,Test Driver,Street,Test driver decided to take over driving task to give other road user priority.
2022-08,3FA6P0LU4JR151712,Test Driver,Street,Test driver decided to take over driving task to keep junction clear.
2022-08,3FA6P0LU4JR151712,Test Driver,Street,Test driver decided to take over driving task to give another road user priority.
2022-08,3FA6P0LU4JR151712,Test Driver,Street,Test driver decided to resume control to ensure vehicle maintain desired path.
2022-08,3FA6P0LU4JR151712,Test Driver,Street,Test driver decided to resume control to ensure vehicle maintain desired path.
2022-08,3FA6P0LU4JR151712,Test Driver,Parking Facility,Test driver decided to take over driving task to give another road user priority.
