Month,Car,TypeOfTrigger,Location,Cause
2022-02,KMHKW3AA2L1T98029,Test Driver,Street,Planning Discrepancy: Disengaged due to planning trajectory scoring issue leading to insufficient braking for actor vehicle in front of the Autonomous Vehicle (AV)
2022-02,KMHKW3AA2L1T98029,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
2022-02,KMHKW3AA2L1T98029,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
2022-02,KMHKW3AA2L1T98029,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
2022-02,KMHKW3AA4L1T98033,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
2022-02,KMHKW3AA4L1T98033,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
2022-03,KMHKW3AA4L1T98033,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
2022-03,KMHKW3AA4L1T98033,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
2022-03,KMHKW3AA4L1T98033,Test Driver,Street,Planning Discrepancy: Disengaged due to planning trajectory scoring issue causing the Autonomous Vehicle (AV) to maneuver close to the parked vehicles
2022-03,KMHKW3AA2L1T98029,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
2022-03,KMHKW3AA2L1T98029,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
2022-03,KMHKW3AA2L1T98029,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
2022-03,KMHKW3AA2L1T98029,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
2022-03,KMHKW3AA2L1T98029,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
2022-03,KMHKW3AA4L1T98033,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
2022-03,KMHKW3AA4L1T98033,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
2022-03,KMHKW3AA4L1T98033,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
2022-03,KMHKW3AA4L1T98033,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
2022-03,KMHKW3AA4L1T98033,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
2022-04,KMHKW3AA6L1T98017,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
2022-04,KMHKW3AA6L1T98020,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
2022-04,KMHKW3AA1L1T98023,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
2022-06,KMHKM4AE0M1P98011,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
2022-06,KMHKM4AE0M1P98011,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
2022-06,KMHKM4AE6M1P98014,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
