Month,Car,TypeOfTrigger,Location,Cause
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Ego-vehicle didn't take off at a stop when it was his turn"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Traffic light detected stayed at red color when it was green - Switch to green light not detected - Perception SW - Unknown Root cause "
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Controls disengaged at traffic light due to requesting deceleration above threshold - System is not allowed to do emergency braking by itself"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Driver's safety decision to takeover because the front car was parked too close from us at the right of the ego lane"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Traffic light detected stayed at red color when it was green - Switch to green light not detected - Perception SW - Unknown Root cause "
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Ego-vehicle didn't take off at a stop when it was his turn"
2022-05,1V2NR2CA2JC509341,AV System,Urban,"Weather(Sunny), Daylight: Software Crash of localization component - unknown root cause"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Traffic light detected stayed at red color when it was green - Switch to green light not detected - Perception SW - Unknown Root cause "
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Traffic light detected stayed at red color when it was green - Switch to green light not detected - Perception SW - Unknown Root cause "
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Ego-vehicle didn't take off at a stop when it was his turn"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Safety Takeover (Close to pedestrian)"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Driver's safety decision to takeover because the front car was parked too close from us at the right of the ego lane"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Driver's safety decision to takeover because the front car was parked too close from us at the right of the ego lane"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Ego-vehicle didn't take off at a stop when it was his turn"
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: Traffic light detected stayed at red color when it was green - Switch to green light not detected - Perception SW - Unknown Root cause "
2022-05,1V2NR2CA2JC509341,Test Driver,Urban,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking"
