Month,Car,TypeOfTrigger,Location,Cause
2022-11,SADHW2S18M1617573,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-11,SADHW2S17M1616527,AV System,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-11,SADHW2S13M1615519,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-11,SADHW2S14M1616033,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-11,SADHW2S15M1615568,Test Driver,Highway,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-11,SADHW2S10M1616692,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-11,SADHW2S18M1617007,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-11,SADHW2S11M1616281,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-10,SADHW2S10M1615624,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-10,SADHW2S19M1617016,Test Driver,Interstate,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-10,SADHW2S19M1617016,Test Driver,Freeway,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-10,SADHW2S14M1617523,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-10,SADHW2S19M1616755,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-10,SADHW2S13M1615486,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-10,SADHW2S1XM1617638,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-10,SADHW2S10M1617101,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-10,SADHW2S19M1617422,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-10,SADHW2S19M1615749,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-10,SADHW2S10M1616692,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-10,SADHW2S16M1616972,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-10,SADHW2S16M1616549,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-10,SADHW2S17M1615619,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-10,SADHW2S1XM1615937,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-10,SADHW2S19M1615248,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-09,SADHW2S16M1617569,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-09,SADHW2S11M1616300,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-09,SADHW2S12M1615687,Test Driver,Highway,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-09,SADHW2S10M1617583,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-09,SADHW2S10M1615879,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-09,SADHW2S19M1615816,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-09,SADHW2S13M1616542,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-09,SADHW2S11M1616748,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-09,SADHW2S12M1616726,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-09,SADHW2S14M1615190,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-09,SADHW2S18M1616021,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-09,SADHW2S13M1616542,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-09,SADHW2S12M1615687,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-09,SADHW2S19M1615671,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-09,SADHW2S12M1617651,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-08,SADHW2S19M1617520,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-08,SADHW2S16M1615353,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-08,SADHW2S12M1616600,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-08,SADHW2S18M1617573,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-08,SADHW2S14M1616517,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-08,SADHW2S10M1615963,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-08,SADHW2S15M1615599,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-08,SADHW2S13M1616542,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-08,SADHW2S17M1615703,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-08,SADHW2S13M1616928,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-08,SADHW2S11M1616572,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-08,SADHW2S13M1616928,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-07,SADHW2S13M1616542,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-07,SADHW2S19M1616755,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-07,SADHW2S15M1615716,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-07,SADHW2S10M1616692,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-07,SADHW2S15M1616218,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-07,SADHW2S15M1616218,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-07,SADHW2S17M1615619,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-07,SADHW2S11M1616281,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-07,SADHW2S12M1615947,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-07,SADHW2S18M1615922,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-07,SADHW2S10M1616837,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-07,SADHW2S19M1617016,Test Driver,Street,Disengage for incorrect behavior prediction of other traffic participants
2022-07,SADHW2S14M1615643,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-07,SADHW2S19M1615699,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-07,SADHW2S10M1617177,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-07,SADHW2S10M1617101,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-06,SADHW2S17M1616799,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-06,SADHW2S17M1616799,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-06,SADHW2S17M1615619,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-06,SADHW2S19M1615749,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-06,SADHW2S15M1616008,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-06,SADHW2S10M1616837,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-06,SADHW2S16M1615823,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2022-06,SADHW2S16M1615823,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-06,SADHW2S16M1615823,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-06,SADHW2S10M1617440,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-06,SADHW2S10M1617440,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2022-06,SADHW2S11M1616118,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
