Month,Car,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)",TypeOfTrigger,Location,Cause
Unknown,KMHKM4AE0M1P98011,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE0M1P98011,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE0M1P98011,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE0M1P98011,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE6M1P98014,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE0M1P98011,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE0M1P98011,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
Unknown,KMHKM4AE6M1P98014,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE0M1P98011,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE0M1P98011,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Prediction Discrepancy: Disengaged due to inaccurate oncoming traffic predictions as the Autonomous Vehicle (AV) is turning left at an intersection
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines
Unknown,KMHKM4AE3M1P98004,No,Yes,Test Driver,Street,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system
