Month,Car,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)",TypeOfTrigger,Location,Cause
Unknown,JTDKN3DPXF3070616,No,Yes,Test Driver,Street,Planning Logic: Incorrect behavior leads to unwanted braking with cross traffic
Unknown,JTDKN3DP3C3020295,No,Yes,Test Driver,Street,Planning Logic: Incorrect behavior leads to unwanted braking with cross traffic
Unknown,JTDKN3DP2C3011362,No,Yes,Test Driver,Street,Planning Logic: Incorrect prediction leads to inadequate yield to cyclist in crosswalk 
Unknown,JTDKAMFU8N3171530,No,Yes,Test Driver,Street,Planning Logic: Incorrect prediction leads to inadequate yield to cyclist running stop sign
Unknown,JTDKN3DP8C3004514,No,Yes,Test Driver,Street,Planning Logic: Incorrect behavior leads to unwanted braking with tailgating agent
Unknown,JTDKN3DP0C3001431,No,Yes,Test Driver,Street,Planning Logic: Incorrect behavior leads to unwanted braking with cross traffic
Unknown,JTDKAMFU5N3171713,No,Yes,Test Driver,Street,Planning Logic: Incorrect planner trajectory fails to adequate yield to lead vehicle
Unknown,JTDKAMFU5N3171713,No,Yes,Test Driver,Street,Object Perception: Incorrect perception of bus leads to nudging into adjacent lane with tailgating agent
Unknown,JTDKAMFU2N3171877,No,Yes,Test Driver,Street,Planning Logic: Inccorect planner trajectory fails to adequate yield to lead vehicle
Unknown,JTDKN3DP0C3001431,No,Yes,Test Driver,Street,Planning Logic: Incorrect prediction leads to inadequate yield to pedestrian in crosswalk 
Unknown,JTDKN3DP8C3004514,No,Yes,Test Driver,Street,Planning Logic: Planner trajectory inadequately yields for vehicle reversing from driveway
Unknown,JTDKAMFUXN3171593,No,Yes,Test Driver,Street,Object Perception: Incorrect perception of false object in road leads to unwanted braking with tailgating agent
Unknown,JTDKAMFU2N3182359,No,Yes,Test Driver,Street,Planning Logic: Incorrect planner trajectory fails to adequately yield to lead vehicle
