Month,Car,TypeOfTrigger,Location,Cause
2021-12,KM8K23AG6MU127152,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid the risk of being rear-ended by a vehicle after the Autonomous Driving Vehicle nudged around garbage on the road."
2022-01,KM8K23AG7KU030829,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid the risk of the Autonomous Driving Vehicle colliding with a truck making a wide right turn across multiple lanes."
2022-01,KM8K23AG4LU072537,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid a vehicle that illegally ran a red light from a blind spot occluded by a truck in Autonomous Driving Vehicle's neighbor lane."
2022-02,KM8K23AG3MU127142,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid a vehicle that did not follow the appropriate traffic procedure and made a left turn into Autonomous Driving Vehicle's traveling lane from a median crossover while Autonomous Driving Vehicle was going straight."
2022-02,KM8K23AG2MU127178,Test Driver,Street,"Localization; as a precaution, the safety operator intervened as Autonomous Driving Vehicle was drifting to the edge of the lane due to a localization issue."
2022-02,KM8K23AG2MU127147,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid a vehicle that aggressively cut into the Autonomous Driving Vehicle's traveling lane from left to enter the parking lot on the right side of the road."
2022-02,KM8K23AG0KU030901,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid the risk of being cut off by a vehicle that had suddenly pulled away from the side of the road."
2022-03,KM8K23AG9MU127162,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid the risk of being rear-ended by a vehicle after the Autonomous Driving Vehicle made a lane change."
2022-03,KM8K23AGXMU127350,Test Driver,Street,"Perception; as a precaution, the safety operator intervened due to perception deficiency where the system failed to detect an object correctly."
2022-03,KM8K23AG5KU030909,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid the risk of being rear-ended by a vehicle when Autonomous Driving Vehicle wrongly stopped for open railway gate."
2022-03,KM8K23AG6KU030255,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid the risk of being rear-ended by a vehicle when Autonomous Driving Vehicle wrongly stopped for open railway gate."
2022-03,KM8K23AG2KU030916,Test Driver,Street,Perception; the safety operator intervened due to perception deficiency where the system failed to detect an object correctly.
2022-03,3LN6L5MU3KR620979,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid a vehicle that ran a 2-way stop sign while Autonomous Driving Vehicle had the right of way."
2022-04,KM8K23AG7LU072497,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid a vehicle that did not yield and made an unprotected left turn into Autonomous Driving Vehicle's traveling lane in intersection while Autonomous Driving Vehicle had the right of way."
2022-04,KM8K23AG5LU072708,Test Driver,Parking Facility,"While in supervised (ï¿½Driveredï¿½) autonomous mode, a Pony.ai Autonomous Vehicle stopped in a parking lot when a passenger vehicle reversed into the Pony.ai vehicle."
2022-04,3LN6L5MU9KR623692,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid a vehicle that ran a 2-way stop sign while Autonomous Driving Vehicle had the right of way."
2022-04,KM8K23AGXMU127137,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to avoid the risk of being cut off by a vehicle that had suddenly pulled away from the side of the road."
2022-05,KM8K33AG2KU054517,Test Driver,Parking Facility,"Planning; as a precaution, the safety operator intervened to avoid the risk of the Autonomous Driving Vehicle colliding with a vehicle in a parking lot when Autonomous Driving Vehicle was making a left turn."
2022-05,KM8K23AG6KU030241,Test Driver,Street,"Planning; as a precaution, the safety operator intervened to react to a vehicle that had cut off the Autonomous Driving Vehicle while the vehicle was making an illegal right turn."
2022-05,KM8K23AG2MU127178,Test Driver,Street,"While Pony.ai's Autonomous Driving Vehicle stopped on the side of the road, a passenger vehicle reversed out of a parking spot into a Pony.ai autonomous testing vehicleï¿½s rear bumper."
