Month,Car,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)",TypeOfTrigger,Location,Cause
Unknown,WDD2221591A470147,No,Yes,AV System,Highway,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470147,No,Yes,Test Driver,Highway,Driver disengaged with steering input. Driver took over for unexpected swerving due to temporary delocalization.
Unknown,WDD2221591A470147,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for unexpected braking due to false positive collision prediction.
Unknown,WDD2221591A470147,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for hesitant driving due to various unstable object detections.
Unknown,WDD2221591A470147,No,Yes,Test Driver,Street,Driver disengaged with steering input. Driver took over for unstable braking and swerving around articulated bus.
Unknown,WDD2221591A470796,No,Yes,AV System,Highway,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470796,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470796,No,Yes,AV System,Highway,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470796,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470796,No,Yes,AV System,Street,Recording module failed unexpectedly.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for improper yellow light handling.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for incomplete lane change at a red light.
Unknown,WDD2221591A470497,No,Yes,AV System,Highway,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Fusion Dynamic World module timeout.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over because ego vehicle chose improper position to yield for pedestrian in crosswalk.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,"Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for improper braking during left turn, improper yielding to adjacent vehicle making right turn."
Unknown,WDD2221591A470497,No,Yes,Test Driver,Highway,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for vehicle cutting in.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle was getting stuck looking for a lane change gap.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to inappropriate braking to find lane change gap.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to failure to yield to pedestrian at crosswalk.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Driver disengaged with steering input. Driver took over due to jerky steering while entering left turn lane.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to overly slow right turn.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Highway,"Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for other vehicle merging onto highway did not yield to us, disengaged to make space."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Planning behavior updater module state error.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for traffic light turning yellow with unclear ego vehicle intent.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to failure to yield to oncoming vehicle during unprotected left turn.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,The system disengaged because the driver seat belt not being properly fastened.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Planning behavior updater module state error.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to inappropriate slowdown after lane change approaching green light.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to inappropriate yield point for pedestrians near crosswalk.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Driver disengaged with steering input. Driver took over due to wide right turn into parking lot with a following vehicle.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Highway,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Highway,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,Test Driver,Highway,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over during lane change due to tailgating vehicle approaching quickly behind.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Driver disengaged with steering input. Driver took over during split into turning lane because tailgating vehicle was too close.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Accidental takeover during lane change.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to failure to yield to oncoming vehicle during unprotected left turn.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to inappropriate braking for lead vehicle turning right out of our lane.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Highway,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle failed to initiate and complete a lane change in the allotted space.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to overly cautious braking approaching lane merge.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Planning behavior provider module timeout.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Planning behavior provider module timeout.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Planning behavior provider module timeout.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to sudden braking after a left turn.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to unstable speed profile while trying to find lane change gap.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for a failure to lane change.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Fusion Traffic Regulation module timeout.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for a failure to yield to pedestrian at a crosswalk.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Planning behavior provider module state error.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to overly cautious braking approaching lane merge.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,An issue with motion control system caused the system to disengage.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over because ego vehicle creeped forward at red light behind vehicle.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to other vehicle driving the wrong way in our lane.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over during slow unprotected left turn for vehicle oncoming.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for sudden braking in intersection.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for sudden slowdown approaching crosswalk with vehicle tailing close behind.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to improper yielding to a pedestrian near roadway during left turn.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for jerky/wobbly steering.
Unknown,WDD2221591A470497,No,Yes,AV System,Highway,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to fallback trajectory error.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,AV System,Street,"Planning trajectory is in timeout, cycle time broken."
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for ego vehicle attempting lane change without enough space.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Highway,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle failed to initiate and complete a lane change in the allotted space.
Unknown,WDD2221591A470497,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to failure to yield to oncoming vehicle during unprotected left turn.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to unexpected braking in intersection.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to improper yielding to a pedestrian near roadway during left turn.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to ego vehicle getting stuck after yielding to pedestrian in sidewalk.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Highway,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for improper yielding to a pedestrian near the roadway.
Unknown,WDD2221591A470497,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for improper yielding to a pedestrian near the roadway.
Unknown,WDD2221591A470796,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470796,No,Yes,AV System,Street,Localization module detected a localizer incident.
Unknown,WDD2221591A470796,No,Yes,Test Driver,Street,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to vehicle creeping forward at red light.
Unknown,WDD2221591A470796,No,Yes,Test Driver,Street,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to ego vehicle initiating a lane change slowly approaching an intersection.
Unknown,WDD2221591A470796,No,Yes,AV System,Street,Planning behavior provider module timeout.
