Month,Car,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)",TypeOfTrigger,Location,Cause
2023-11,KNDCB3LCOJ5177246,No,Yes,Test Driver,Street,Late deceleration due to incorrect behaviour prediction of another traffic participant
2023-11,KNDCB3LCOJ5177246,No,Yes,Test Driver,Street,"The system incorrectly perceived an element in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement"
2023-11,KNDCB3LCOJ5177246,No,Yes,Test Driver,Street,Inaccurate lane-switching due to inaccurate path planning
2023-11,KNDCB3LC8J5206489,No,Yes,Test Driver,Street,Inaccurate lane-keeping due to inaccurate path planning
2023-11,KNDCB3LC8J5206489,No,Yes,Test Driver,Street,Inaccurate lane-keeping due to inaccurate path planning
2023-11,KNDCB3LC8J5206489,No,Yes,Test Driver,Street,Inaccurate lane-switching due to inaccurate path planning
2023-11,KNDCB3LC8J5206489,No,Yes,Test Driver,Street,Inaccurate lane-keeping due to inaccurate path planning
2023-11,KNDCB3LC8J5206489,No,Yes,Test Driver,Street,"The system incorrectly perceived an element in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement"
2023-11,KNDCB3LC8J5206489,No,Yes,Test Driver,Street,Inaccurate lane-switching due to inaccurate path planning
2023-11,KNDCB3LC8J5206489,No,Yes,Test Driver,Street,Inaccurate lane-switching due to inaccurate path planning
2023-11,KNDCB3LC8J5206489,No,Yes,Test Driver,Street,Inaccurate lane-keeping due to inaccurate path planning
2023-11,KNDCB3LC8J5206489,No,Yes,Test Driver,Street,"The systemï¿½incorrectly perceived an elementï¿½in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement"
2023-11,KNDCB3LCOJ5177246,No,Yes,Test Driver,Street,"The systemï¿½incorrectly perceived an elementï¿½in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement"
2023-11,KNDCB3LCOJ5177246,No,Yes,Test Driver,Street,"The systemï¿½incorrectly perceived an elementï¿½in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement"
2023-11,KNDCB3LC8J5206489,No,Yes,Test Driver,Street,Inaccurate lane-keeping due to object detection discrepancy
2023-11,KNDCB3LC8J5206489,No,Yes,Test Driver,Street,Inaccurate lane-keeping due to object detection discrepancy
