Month,Car,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)",TypeOfTrigger,Location,Cause
2023-11,SADHW2S17M1614678,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-11,SADHW2S13M1602690,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user
2023-11,SADHW2S19M1616044,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-11,SADHW2S1XM1614898,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-11,SADHW2S11M1616300,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-11,SADHW2S12M1616581,No,Yes,Test Driver,Parking facility,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-11,SADHW2S16M1615112,No,Yes,Test Driver,Interstate,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-11,SADHW2S1XM1602671,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S18M1606251,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S14M1615478,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S19M1615721,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S18M1617007,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S16M1615577,No,Yes,AV System,Freeway,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S1XM1602671,No,Yes,Test Driver,Interstate,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S16M1615904,No,Yes,Test Driver,Freeway,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S15M1602660,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-10,SADHW2S10M1615977,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S18M1602698,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S16M1602621,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S1XM1602704,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-10,SADHW2S16M1602621,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-10,SADHW2S10M1615977,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-10,SADHW2S18M1602684,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-10,SADHW2S18M1615225,No,Yes,AV System,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-09,SADHW2S15M1602674,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-09,SADHW2S1XM1606137,No,Yes,Test Driver,Interstate,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-09,SADHW2S12M1616581,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-09,SADHW2S18M1617007,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-09,SADHW2S12M1615690,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-09,SADHW2S16M1615465,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-09,SADHW2S16M1615112,No,Yes,AV System,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-09,SADHW2S19M1615864,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user
2023-08,SADHW2S18M1615225,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-08,SADHW2S11M1614742,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-08,SADHW2S18M1602684,No,Yes,Test Driver,Interstate,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-08,SADHW2S17M1617595,No,Yes,Test Driver,Freeway,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-08,SADHW2S16M1602621,No,Yes,AV System,Freeway,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-08,SADHW2S16M1602621,No,Yes,Test Driver,Freeway,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-08,SADHW2S10M1615199,No,Yes,AV System,Interstate,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component
2023-08,SADHW2S10M1614408,No,Yes,Test Driver,Freeway,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-08,SADHW2S19M1615282,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-08,SADHW2S19M1615816,No,Yes,AV System,Freeway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component
2023-08,SADHW2S16M1605972,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-08,SADHW2S11M1614661,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-08,SADHW2S16M1615501,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-08,SADHW2S18M1615838,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-08,SADHW2S10M1614568,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-08,SADHW2S15M1617319,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-07,SADHW2S13M1614497,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-07,SADHW2S1XM1614898,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-07,SADHW2S15M1616333,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-07,SADHW2S13M1602740,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-07,SADHW2S18M1617007,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-07,SADHW2S15M1614551,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-07,SADHW2S15M1615716,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-07,SADHW2S18M1614964,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-07,SADHW2S12M1615690,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-07,SADHW2S16M1615577,No,Yes,Test Driver,Freeway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component
2023-07,SADHW2S13M1615469,No,Yes,AV System,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-06,SADHW2S16M1615482,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-06,SADHW2S10M1615199,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-06,SADHW2S19M1616853,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-06,SADHW2S10M1615624,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user
2023-06,SADHW2S19M1617579,No,Yes,AV System,Highway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component
2023-06,SADHW2S19M1615668,No,Yes,AV System,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-06,SADHW2S13M1615486,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-06,SADHW2S16M1617507,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-06,SADHW2S12M1616029,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-06,SADHW2S11M1615583,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-05,SADHW2S16M1615482,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-05,SADHW2S18M1615709,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-05,SADHW2S16M1615482,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-05,SADHW2S13M1615519,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-05,SADHW2S13M1615813,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-05,SADHW2S17M1616799,No,Yes,AV System,Highway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component
2023-05,SADHW2S16M1615465,No,Yes,AV System,Freeway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component
2023-05,SADHW2S1XM1614447,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-05,SADHW2S1XM1617560,No,Yes,Test Driver,Interstate,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly
2023-05,SADHW2S16M1617507,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-05,SADHW2S17M1615989,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
2023-05,SADHW2S19M1614696,No,Yes,Test Driver,Freeway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component
2023-05,SADHW2S11M1614661,No,Yes,Test Driver,Interstate,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances
